#net sta compBase lo la dep nameMode
hima3 15868 BH 114.40538000000001 42.40742 1197.0 hima23
hima3 15869 BH 114.40046000000001 42.150330000000004 1286.0 hima23
hima3 15870 BH 115.00629 43.33560000000001 1094.0 hima23
hima3 15871 BH 115.01068 42.587520000000005 1201.0 hima23
hima3 15872 BH 115.04771000000001 42.389920000000004 1274.0 hima23
hima3 14848 BH 113.25632999999999 38.00744 983.0 hima23
hima3 14849 BH 113.49375 37.59458 549.0 hima23
hima3 14851 BH 111.14223 37.23457 1288.0 hima23
hima3 14853 BH 112.55308000000001 37.37591 881.0 hima23
hima3 14854 BH 113.24476 37.41068 1379.0 hima23
hima3 14855 BH 113.48935 37.41567 1118.0 hima23
hima3 14857 BH 111.14223 37.23457 1288.0 hima23
hima3 14860 BH 112.57318 37.183279999999996 1169.0 hima23
hima3 14861 BH 113.24564000000001 37.220369999999996 1430.0 hima23
hima3 14866 BH 111.43745999999999 37.023270000000004 992.0 hima23
hima3 14867 BH 112.14985 36.567710000000005 1520.0 hima23
hima3 14869 BH 112.58762 37.00866 1020.0 hima23
hima3 14888 BH 113.23796 36.05153 1402.0 hima23
hima3 14898 BH 112.09689 35.24987 1422.0 hima23
hima3 14889 BH 110.50647000000001 35.4642 1327.0 hima23
hima3 14868 BH 112.3348 37.0217 1372.0 hima23
hima3 14872 BH 111.47079 36.44368 866.0 hima23
hima3 14873 BH 112.09487999999999 36.4281 1373.0 hima23
hima3 14875 BH 113.23449000000001 36.446 864.0 hima23
hima3 14881 BH 113.00206 36.25185 936.0 hima23
hima3 14882 BH 113.23780000000001 36.24379 721.0 hima23
hima3 14886 BH 112.33679000000001 36.05046 1136.0 hima23
hima3 14887 BH 113.00379000000001 36.05202 954.0 hima23
hima3 14858 BH 111.4003 37.21557 1202.0 hima23
hima3 14862 BH 113.48024 37.22599 1081.0 hima23
hima3 14846 BH 112.09201999999999 37.59912 1370.0 hima23
hima3 14847 BH 113.08193 37.56801 1089.0 hima23
hima3 14852 BH 111.40942999999999 37.39774 1237.0 hima23
hima3 15794 BH 109.12531999999999 39.1691 1341.0 hima23
hima3 15795 BH 109.37137000000001 39.16852 1451.0 hima23
hima3 15796 BH 110.02802 39.17572 1321.0 hima23
hima3 15797 BH 109.11656 38.565619999999996 1314.0 hima23
hima3 15798 BH 109.37689 38.57569 1327.0 hima23
hima3 15799 BH 109.11393 38.38281 1270.0 hima23
hima3 15771 BH 109.12037000000001 41.1162 1321.0 hima23
hima3 15772 BH 109.37355 41.11911 1432.0 hima23
hima3 15773 BH 110.03132 41.12044 1596.0 hima23
hima3 15774 BH 110.26865 41.11665 1739.0 hima23
hima3 15775 BH 109.13904000000001 40.54788 1104.0 hima23
hima3 15776 BH 109.3663 40.55001 1389.0 hima23
hima3 15777 BH 110.02968999999999 40.525659999999995 1497.0 hima23
hima3 15778 BH 110.27408 40.53549 1726.0 hima23
hima3 15779 BH 109.12101000000001 40.33855 1009.0 hima23
hima3 15780 BH 109.37579 40.33877 1005.0 hima23
hima3 15781 BH 110.02641 40.33388 1011.0 hima23
hima3 15782 BH 110.27932000000001 40.326640000000005 992.0 hima23
hima3 15783 BH 109.11549000000001 40.13897 1240.0 hima23
hima3 15784 BH 109.33172 40.12523 1184.0 hima23
hima3 15785 BH 110.01597 40.14748 1128.0 hima23
hima3 15786 BH 110.28164000000001 40.15139 1036.0 hima23
hima3 15787 BH 109.12538 39.55025 1508.0 hima23
hima3 15788 BH 109.36313 39.54878 1401.0 hima23
hima3 15789 BH 110.2757 39.548449999999995 1397.0 hima23
hima3 15790 BH 109.10823 39.361019999999996 1432.0 hima23
hima3 15791 BH 109.36209000000001 39.35816 1453.0 hima23
hima3 15792 BH 110.03748 39.35614 1332.0 hima23
hima3 15793 BH 110.26907 39.34767 1232.0 hima23
hima3 61081 BH 109.11556 36.440239999999996 1208.0 hima23
hima3 61082 BH 109.12653 37.01716 1244.0 hima23
hima3 61083 BH 109.36646 35.2716 839.0 hima23
hima3 61084 BH 109.57051 34.48591 350.0 hima23
hima3 61085 BH 110.22959999999999 39.10958 1131.0 hima23
hima3 61086 BH 110.5843 39.10371 1044.0 hima23
hima3 61087 BH 109.10817999999999 34.49037 467.0 hima23
hima3 61090 BH 109.12088 35.45359 1142.0 hima23
hima3 61091 BH 109.12251 36.052820000000004 1316.0 hima23
hima3 61092 BH 109.36727 36.06291 1157.0 hima23
hima3 61093 BH 109.14138999999999 36.24535 1059.0 hima23
hima3 61094 BH 110.28196 35.26449 427.0 hima23
hima3 61095 BH 110.27517 35.44373 877.0 hima23
hima3 61096 BH 110.01583000000001 35.08125 540.0 hima23
hima3 61097 BH 109.11117 37.40846 1290.0 hima23
hima3 61098 BH 109.14267 37.588069999999995 1189.0 hima23
hima3 61099 BH 109.37292 37.41024 1069.0 hima23
hima3 61100 BH 109.37835999999999 37.59238 1005.0 hima23
hima3 61102 BH 110.02598 35.44002 1354.0 hima23
hima3 61103 BH 110.27717000000001 38.00233 936.0 hima23
hima3 61104 BH 110.26535 38.18394 937.0 hima23
hima3 61105 BH 109.18834999999999 37.20498 1202.0 hima23
hima3 61106 BH 109.36417999999999 35.46161 1224.0 hima23
hima3 61107 BH 110.12379999999999 34.12102 1076.0 hima23
hima3 61108 BH 109.35388 34.47978 372.0 hima23
hima3 61109 BH 110.01118000000001 37.02953 974.0 hima23
hima3 61110 BH 109.51555 34.057379999999995 980.0 hima23
hima3 61111 BH 110.02085 38.38211 1184.0 hima23
hima3 61112 BH 110.03217000000001 38.58354 1235.0 hima23
